# ZTF DR2 lightcurve of ZTF20abbhyxu
# --------------- #
# mjd_max_init:   59000.83072 (phot: fclump)
# baseline_range: 58900.83072 => 59656.89805
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  632   02   ztfg      102.46     1.00      75
#  632   02   ztfr      159.96     1.00      94
#  632   02   ztfi     -996.81     1.00      41
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58327.16910        ztfg -1260.61147  1783.00878    30.00000           0    99.00000    99.00000    20.12469         632           2   102.46215     1.00000           1  1447.92663  1193.44589    26.08390     0.00001     0.03666     1.00116 ztf_20180728169051_000632_zg_c01_o_q3_sciimg.fits
 58327.27494        ztfr   926.90275  2598.55181    30.00000           0    99.00000    99.00000    19.71575         632           2   159.95683     1.00000           1  1455.57614  1158.82800    25.78613     0.00001     0.03164     1.00180 ztf_20180728274919_000632_zr_c01_o_q3_sciimg.fits
 58330.16921        ztfg  -752.61255   957.82828    30.00000          32    99.00000    99.00000    20.79936         632           2   102.46215     1.00000           1  1407.33729  1288.77116    26.09443     0.00001     0.03008     1.00138 ztf_20180731169190_000632_zg_c01_o_q3_sciimg.fits
 58330.29566        ztfr    52.45152  1814.78706    30.00000           0    99.00000    99.00000    20.10551         632           2   159.95683     1.00000           1  1416.88023  1246.24738    25.95646     0.00000     0.02404     0.99811 ztf_20180731295637_000632_zr_c01_o_q3_sciimg.fits
 58331.31657        ztfi -1678.26238  2908.31013    30.00000           0    99.00000    99.00000    19.59347         632           2  -996.80959     1.00000           1  1415.01629  1264.08492    25.23300     0.00000     0.02794     1.00119 ztf_20180801316562_000632_zi_c01_o_q3_sciimg.fits
 58333.16488        ztfr  -360.96916   986.61973    30.00000           0    99.00000    99.00000    20.76720         632           2   159.95683     1.00000           1  1405.58089  1362.97812    26.09010     0.00000     0.02033     1.00023 ztf_20180803164873_000632_zr_c01_o_q3_sciimg.fits
 58333.18757        ztfg    40.74903   698.31393    30.00000           0    99.00000    99.00000    21.14245         632           2   102.46215     1.00000           1  1409.94407  1351.94434    26.12752     0.00000     0.02419     1.00158 ztf_20180803187558_000632_zg_c01_o_q3_sciimg.fits
 58336.15593        ztfi   593.50130  3110.38273    30.00000          32    99.00000    99.00000    19.52054         632           2  -996.80959     1.00000           1  1451.80514  1267.88750    25.42404     0.00000     0.03129     1.00099 ztf_20180806155926_000632_zi_c01_o_q3_sciimg.fits
 58336.20690        ztfr   317.76398   951.78369    30.00000           0    99.00000    99.00000    20.80623         632           2   159.95683     1.00000           1  1460.42632  1247.25225    26.11579     0.00000     0.02016     1.00129 ztf_20180806206898_000632_zr_c01_o_q3_sciimg.fits
 58336.23613        ztfg  -154.25895   768.88284    30.00000           0    99.00000    99.00000    21.03792         632           2   102.46215     1.00000           1  1458.93546  1238.80286    26.16100     0.00001     0.02656     1.00333 ztf_20180806236123_000632_zg_c01_o_q3_sciimg.fits
 58340.15375        ztfi  6792.67542  2926.16579    30.00000          32    99.00000    99.00000    19.58683         632           2  -996.80959     1.00000           0  1455.24303  1364.15229    25.22201     0.00000     0.03267     0.99971 ztf_20180810153738_000632_zi_c01_o_q3_sciimg.fits
 58340.18481        ztfr  1970.27562  1144.40958    30.00000           0    99.00000    99.00000    20.60612         632           2   159.95683     1.00000           0  1458.88918  1346.21506    25.86688     0.00000     0.02175     1.00112 ztf_20180810184803_000632_zr_c01_o_q3_sciimg.fits
 58343.16289        ztfr   486.61202  1020.61301    30.00000           0    99.00000    99.00000    20.73042         632           2   159.95683     1.00000           1  1456.55996  1303.33303    26.05182     0.00000     0.02133     0.99979 ztf_20180813162824_000632_zr_c01_o_q3_sciimg.fits
 58343.17222        ztfg   772.22985   726.78416    30.00000           0    99.00000    99.00000    21.09906         632           2   102.46215     1.00000           1  1454.40514  1303.59914    26.10186     0.00000     0.02553     1.00138 ztf_20180813172188_000632_zg_c01_o_q3_sciimg.fits
 58346.16029        ztfg     3.50411   878.35342    30.00000           0    99.00000    99.00000    20.89340         632           2   102.46215     1.00000           1  1460.07684  1296.01696    26.10566     0.00001     0.02858     1.00128 ztf_20180816160220_000632_zg_c01_o_q3_sciimg.fits
 58346.18208        ztfr  -554.65606  1003.87574    30.00000           0    99.00000    99.00000    20.74838         632           2   159.95683     1.00000           1  1464.09713  1288.52335    26.03196     0.00000     0.02153     1.00146 ztf_20180816182072_000632_zr_c01_o_q3_sciimg.fits
 58349.16487        ztfg -2684.54133  1292.64585    30.00000         128    99.00000    99.00000    20.47388         632           2   102.46215     1.00000           0  1460.41917  1125.28827    26.09053     0.00001     0.03275     1.00135 ztf_20180819164861_000632_zg_c01_o_q3_sciimg.fits
 58350.22284        ztfi  1175.36175  1888.59771    30.00000         128    99.00000    99.00000    20.06223         632           2  -996.80959     1.00000           1  1466.01928  1099.32037    25.36708     0.00000     0.02296     1.00204 ztf_20180820222824_000632_zi_c01_o_q3_sciimg.fits
