# #JD, Flux, Err, Zp
2.459037712129599880e+06 7.711405401334999624e+03 1.343128026731239970e+02 2.611510000000000176e+01
2.459177016423599795e+06 7.210885535668529656e+02 4.092418677542850247e+01 2.611599999999999966e+01
2.459181003506899811e+06 5.454875260081499846e+02 8.314188375339540471e+01 2.619960000000000022e+01
2.459187042592599988e+06 7.898021375329190050e+02 1.237921385697549965e+02 2.627779999999999916e+01
2.459189041979200207e+06 9.074276325236529601e+02 5.979687591328119822e+01 2.630640000000000001e+01
2.459195049050900154e+06 7.264756286217019579e+02 3.717083261550170192e+01 2.630720000000000169e+01
2.459199025879600085e+06 7.314902398465540045e+02 3.908632498543840228e+01 2.628610000000000113e+01
2.459200948437499814e+06 2.495454899913889903e+02 3.647938980973309953e+01 2.496460000000000079e+01
2.459204040520799812e+06 6.697870420012079649e+02 4.343349046556870263e+01 2.627959999999999852e+01
2.459204966411999892e+06 7.319274939395460251e+02 3.211672587910079812e+01 2.624500000000000099e+01
2.459217035694399849e+06 4.941980733940559958e+02 7.828875445528089472e+01 2.614209999999999923e+01
2.459221973402800038e+06 4.885301911618660142e+02 5.142459188854139995e+01 2.591639999999999944e+01
2.459223899687500205e+06 5.434674784141800501e+02 4.839283567178659951e+01 2.618939999999999912e+01
2.459225965023099910e+06 5.148749331193789658e+02 3.976683580035339816e+01 2.618280000000000030e+01
2.459227962256900035e+06 5.379657258585040154e+02 3.246881122584640167e+01 2.621430000000000149e+01
2.459231958692099899e+06 5.436851571308360462e+02 2.926824815163899984e+01 2.633210000000000051e+01
2.459249936388900038e+06 3.744178947815149741e+02 7.066202035472929310e+01 2.627220000000000155e+01
2.459253879039399792e+06 2.599510391694410032e+02 2.738468372981699872e+01 2.596569999999999823e+01
2.459257879050900228e+06 2.777024131508459845e+02 3.812652203704610088e+01 2.584700000000000131e+01
2.459262916840299964e+06 1.950346429887250110e+02 3.495937890062990050e+01 2.552169999999999916e+01
2.459268936041700188e+06 3.535202265036249969e+02 4.499081903158369755e+01 2.633459999999999823e+01
2.459270900381899904e+06 2.409019693224410048e+02 7.240348060965949628e+01 2.631060000000000088e+01
2.459272906678199768e+06 4.305854462753030134e+02 1.269622049771430028e+02 2.630849999999999866e+01
2.459275943836850114e+06 4.142385949615164691e+02 6.366126264501201604e+01 2.633480000000000132e+01
2.459278816666699946e+06 2.906019618678129746e+02 3.417803787939570270e+01 2.628030000000000044e+01
2.459291789120399859e+06 1.777039521795159942e+02 3.081263711282559825e+01 2.625949999999999918e+01
2.459293794838000089e+06 2.175022052246110036e+02 3.555128831555479962e+01 2.630160000000000053e+01
2.459298833750000224e+06 1.644638789623039941e+02 6.725742755115609839e+01 2.609250000000000114e+01
2.459303858900499996e+06 2.786342247810080153e+02 1.021637358816410028e+02 2.630099999999999838e+01
2.459305777129599825e+06 1.284463349914609864e+02 5.874256045549459770e+01 2.542289999999999850e+01
