# #JD, Flux, Err, Zp
2.458311710381950252e+06 -1.211618369736869028e+01 1.776785807982028231e+01 2.590735000000000099e+01
2.458312731591450050e+06 -5.963232847176810481e+01 1.604810340287536974e+01 2.600515000000000043e+01
2.458313713026650250e+06 -2.017337826399561962e+01 1.672871213895380293e+01 2.600679999999999836e+01
2.458314689328750130e+06 -6.481457965853344660e+01 1.692815313949062173e+01 2.602949999999999875e+01
2.458315785653949715e+06 -4.454906064189540160e+01 1.890864143952006060e+01 2.579930000000000234e+01
2.458316728807849810e+06 -4.610429036251065327e+01 1.560131646101003078e+01 2.602874999999999872e+01
2.458318805954850279e+06 -9.391900584986544231e+01 1.672290068843160071e+01 2.611390000000000100e+01
2.458319750526600052e+06 -1.838416961169910024e+01 2.246035487996098468e+01 2.612740000000000151e+01
2.458320810445600189e+06 -3.938330465786660461e+00 2.114467125973820316e+01 2.608545000000000158e+01
2.458321743159700185e+06 -1.344823085461547585e+01 2.540974546561461267e+01 2.613125000000000142e+01
2.458322762297449633e+06 -8.672246015055469570e+01 2.567223368685565532e+01 2.615480000000000160e+01
2.458323737228000071e+06 -9.082496393972155602e+01 3.340032223174600290e+01 2.611009999999999920e+01
2.458324700393550098e+06 -6.364780451900345071e+01 4.958598524910188132e+01 2.570515000000000327e+01
2.458325720810149796e+06 -6.296887027664455161e+01 3.859672903000913635e+01 2.610945000000000249e+01
2.458326799560150132e+06 -8.583683454245250033e+00 4.523055442487850542e+01 2.605310000000000059e+01
2.458327801261600107e+06 3.672372139655298184e+00 4.187310205172555300e+01 2.599629999999999797e+01
2.458328810983799864e+06 -1.051532109466649985e+02 8.456785573524800270e+01 2.439470000000000027e+01
2.458329827777800150e+06 -1.290506890879860080e+01 4.332559656943649884e+01 2.600629999999999953e+01
2.458330809207149781e+06 -1.334527230211184801e+01 2.697277139352378583e+01 2.602284999999999826e+01
2.458331680613399949e+06 -5.361361532026960219e+01 1.565122447092293712e+01 2.607969999999999899e+01
2.458332778790500015e+06 2.231235944978200507e+02 3.920872448513983244e+01 2.488815000000000310e+01
2.458333829675899819e+06 -1.119087307659670039e+01 3.490711516945759740e+01 2.598849999999999838e+01
2.458336718680600170e+06 -2.699108084345899883e+01 2.323530903076149912e+01 2.615650000000000119e+01
2.458340683865699917e+06 -1.715448489886880168e+01 2.319749038699929855e+01 2.591610000000000014e+01
2.458343662372699939e+06 -2.535919230315809969e+01 2.369241970649909845e+01 2.609750000000000014e+01
2.458346680682899896e+06 -3.590197162281700116e+01 2.186713818954660127e+01 2.608500000000000085e+01
2.458349752077550162e+06 -2.281491265660984524e+01 2.426098326885838219e+01 2.606949999999999790e+01
