MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59005.414161,17.325,0.057,427,24,o,0,1.51,256.72750,30.27150,9961.00,7435.59,2.23,1.88,17.2,-0.411,18.81,19.05,01a59005o0373o
59005.420128,21.434,2.767,10,27,o,0,0.88,256.72750,30.27150,49.24,7490.64,1.87,1.72,-55.0,-0.446,18.86,19.06,01a59005o0385o
59007.431264,17.378,0.052,406,21,o,0,1.31,256.72750,30.27150,1247.84,2969.34,2.14,2.05,-47.6,-0.456,19.00,19.51,02a59007o0408o
59007.438826,17.365,0.049,411,20,o,0,4.10,256.72750,30.27150,1227.40,2928.87,2.06,1.98,-56.1,-0.456,19.05,19.54,02a59007o0423o
59007.441860,17.198,0.040,479,19,o,0,3.62,256.72750,30.27150,1288.12,3007.84,2.08,2.05,-53.2,-0.448,19.03,19.53,02a59007o0429o
59007.470448,17.311,0.044,432,19,o,0,1.69,256.72750,30.27150,1307.11,2887.20,2.08,2.01,-64.9,-0.452,19.03,19.53,02a59007o0484o
59009.435059,17.321,0.039,428,16,o,0,4.29,256.72750,30.27150,3180.35,7448.28,2.08,1.87,-7.5,-0.402,18.96,19.61,01a59009o0425o
59009.440202,17.395,0.038,400,15,o,0,5.02,256.72750,30.27150,3202.92,7487.54,2.25,1.92,-9.9,-0.395,19.28,20.20,01a59009o0436o
59009.447695,17.384,0.038,404,15,o,0,3.23,256.72750,30.27150,3145.93,7408.58,2.11,1.95,-10.2,-0.406,19.36,20.28,01a59009o0451o
59009.451924,17.400,0.043,398,17,o,0,2.25,256.72750,30.27150,3128.26,7524.86,2.07,1.83,-12.1,-0.399,19.35,20.20,01a59009o0460o
59013.451600,17.555,0.028,345,10,o,0,7.15,256.72750,30.27150,3191.84,7450.30,1.99,1.89,-17.7,-0.415,19.81,21.35,01a59013o0454o
59013.461897,17.626,0.032,323,10,o,0,11.38,256.72750,30.27150,3213.51,7488.69,1.93,1.82,-29.0,-0.417,19.76,21.21,01a59013o0475o
59013.468903,17.656,0.041,314,13,o,0,4.55,256.72750,30.27150,3156.03,7410.05,2.16,2.03,-29.2,-0.410,19.63,21.14,01a59013o0490o
59013.473183,17.591,0.034,334,12,o,0,5.31,256.72750,30.27150,3137.79,7525.91,2.16,2.05,-21.6,-0.417,19.62,21.11,01a59013o0499o
59015.392137,18.149,0.050,200,10,c,0,6.90,256.72750,30.27150,211.33,9648.01,2.64,2.21,-54.6,-0.461,19.79,21.94,02a59015o0326c
59015.394449,18.094,0.050,210,10,c,0,4.06,256.72750,30.27150,231.11,9688.20,2.55,2.29,-61.6,-0.463,19.75,21.97,02a59015o0331c
59015.397219,18.039,0.046,221,10,c,0,6.43,256.72750,30.27150,169.64,9608.18,2.56,2.19,-55.9,-0.457,19.82,21.97,02a59015o0337c
59015.403218,18.232,0.059,185,11,c,0,3.44,256.72750,30.27150,147.93,9726.75,2.63,2.21,-57.1,-0.459,19.80,21.97,02a59015o0350c
