MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58995.500336,19.165,0.114,78,9,c,0,1.47,263.14051,15.73588,7485.34,5411.72,2.42,2.38,60.1,-0.401,19.78,21.68,02a58995o0558c
58995.535436,18.776,0.149,112,17,c,0,1.18,263.14051,15.73588,7497.51,5296.87,2.53,2.45,46.6,-0.394,18.91,20.63,02a58995o0631c
58997.412036,19.755,0.694,46,32,o,0,1.20,263.14051,15.73588,2683.96,3539.37,1.98,1.93,-55.5,-0.414,18.48,20.21,01a58997o0368o
58997.414338,20.874,3.244,16,53,o,0,0.92,263.14051,15.73588,2664.02,3501.20,2.25,1.94,-2.2,-0.379,17.97,19.32,01a58997o0373o
58997.419527,-20.071,9.917,-34,337,o,0,0.79,263.14051,15.73588,2722.90,3578.92,2.39,1.86,-13.8,-0.397,15.95,17.68,01a58997o0384o
58997.441399,19.182,1.385,77,107,o,0,0.71,263.14051,15.73588,2740.01,3463.74,2.24,1.86,-6.4,-0.387,17.81,19.19,01a58997o0425o
58999.433719,18.891,0.102,101,10,o,0,1.60,263.14051,15.73588,3123.12,5190.13,2.12,1.82,36.5,-0.459,19.56,20.71,02a58999o0401o
58999.452316,19.137,0.120,80,10,o,0,1.83,263.14051,15.73588,3149.12,5229.68,2.28,1.93,30.7,-0.447,19.58,20.82,02a58999o0438o
58999.455071,18.600,0.084,132,11,o,0,2.06,263.14051,15.73588,3090.50,5152.02,2.19,1.81,32.0,-0.453,19.63,20.83,02a58999o0444o
58999.459252,18.688,0.085,122,10,o,0,1.84,263.14051,15.73588,3072.30,5268.79,2.25,1.81,35.6,-0.446,19.65,20.88,02a58999o0453o
59001.469856,19.250,0.182,72,13,o,0,0.92,263.14051,15.73588,5276.43,733.24,2.48,1.85,-4.1,-0.401,19.41,20.44,01a59001o0428o
59001.501672,19.491,0.215,58,12,o,0,1.21,263.14051,15.73588,5303.17,766.60,2.32,1.86,-3.3,-0.406,19.44,20.49,01a59001o0494o
59001.508115,19.112,0.128,82,10,o,0,2.00,263.14051,15.73588,5245.29,688.99,2.06,1.87,-6.8,-0.415,19.53,20.57,01a59001o0508o
59001.514216,19.584,0.193,53,10,o,0,1.59,263.14051,15.73588,5227.92,806.27,2.31,2.08,-3.7,-0.397,19.47,20.64,01a59001o0521o
59002.442984,19.485,0.250,58,15,o,0,1.32,263.14051,15.73588,1179.47,5269.51,2.03,1.94,-23.0,-0.450,19.29,19.99,02a59002o0407o
