MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59021.542732,-20.778,0.652,-18,12,o,0,1.04,345.29006,23.48722,7047.09,6173.72,2.39,2.20,-3.8,-0.377,19.44,20.67,01a59021o0628o
59021.558362,20.767,0.575,18,10,o,0,0.88,345.29006,23.48722,7067.33,6059.95,2.23,2.02,-4.9,-0.385,19.54,20.73,01a59021o0659o
59023.531244,17.467,0.794,374,297,c,0,0.84,345.29006,23.48722,4133.73,8300.25,2.51,2.37,8.2,-0.396,16.66,18.37,02a59023o0582c
59023.534008,-23.211,27.000,-2,51,c,0,1.46,345.29006,23.48722,4153.44,8339.30,2.49,2.37,-4.3,-0.404,16.75,18.45,02a59023o0588c
59023.544351,17.113,0.479,518,248,c,0,0.89,345.29006,23.48722,4098.75,8261.03,2.59,2.50,22.5,-0.393,16.90,18.62,02a59023o0609c
59023.550795,-18.074,0.431,-214,92,c,0,0.81,345.29006,23.48722,4073.60,8378.73,2.41,2.38,-0.1,-0.395,17.13,18.82,02a59023o0622c
59025.560441,20.535,0.511,22,11,o,0,2.49,345.29006,23.48722,7599.86,10033.32,2.47,2.40,-74.7,-0.401,19.61,21.19,01a59025o0605o
59025.563814,-21.365,0.831,-10,9,o,0,2.01,345.29006,23.48722,7581.62,9995.85,2.47,2.28,-87.6,-0.382,19.57,21.17,01a59025o0612o
59025.578253,21.720,1.388,7,10,o,0,1.57,345.29006,23.48722,7639.92,10070.94,2.38,2.24,86.6,-0.379,19.55,21.33,01a59025o0637o
59025.586563,20.962,0.683,15,10,o,0,1.50,345.29006,23.48722,7658.45,9956.13,2.34,2.18,80.2,-0.385,19.62,21.23,01a59025o0654o
59027.543340,21.172,0.733,12,9,c,0,1.18,345.29006,23.48722,5489.91,4330.96,2.34,2.30,53.5,-0.407,19.78,21.81,02a59027o0615c
59027.552857,21.188,0.624,12,8,c,0,1.48,345.29006,23.48722,5503.31,4370.63,2.33,2.29,-89.9,-0.409,19.78,21.81,02a59027o0633c
59027.556171,-21.608,0.841,-8,7,c,0,3.60,345.29006,23.48722,5447.27,4293.22,2.33,2.28,53.6,-0.409,19.80,21.81,02a59027o0640c
59027.564638,23.847,6.778,1,7,c,0,1.56,345.29006,23.48722,5430.74,4409.30,2.29,2.26,66.3,-0.411,19.80,21.83,02a59027o0657c
