MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59342.363450,20.760,5.627,18,102,c,0,0.08,185.46033,4.48168,6707.58,31.49,2.41,2.11,-64.0,-0.413,19.73,21.61,02a59342o0276c
59342.366193,20.845,0.808,17,14,c,0,0.89,185.46033,4.48168,1440.62,10205.90,2.44,2.22,-51.1,-0.436,19.73,21.55,02a59342o0282c
59342.371770,22.851,4.864,3,13,c,0,1.42,185.46033,4.48168,6745.28,68.20,2.40,2.09,-63.9,-0.426,19.73,21.62,02a59342o0294c
59342.372227,20.169,0.435,31,14,c,0,1.06,185.46033,4.48168,1496.27,10279.24,2.49,2.20,-60.6,-0.428,19.62,21.63,02a59342o0295c
59342.396860,21.153,0.968,13,12,c,0,1.28,185.46033,4.48168,1513.20,10164.95,2.45,2.21,-50.8,-0.427,19.67,21.49,02a59342o0348c
59344.363613,21.201,0.700,12,8,o,0,1.34,185.46033,4.48168,3794.35,8610.81,1.90,1.75,-63.4,-0.423,19.86,21.11,01a59344o0297o
59344.367297,20.639,0.541,20,11,o,0,0.76,185.46033,4.48168,3814.22,8649.03,1.97,1.86,-53.4,-0.418,19.80,21.09,01a59344o0305o
59344.402637,22.070,1.382,5,8,o,0,2.52,185.46033,4.48168,3762.08,8567.70,1.89,1.75,-55.8,-0.417,19.81,20.97,01a59344o0381o
59344.414258,18.746,0.439,115,51,o,0,1.61,185.46033,4.48168,3740.86,8682.78,1.92,1.77,-70.7,-0.419,18.83,19.91,01a59344o0406o
59346.350888,20.565,0.462,22,10,c,0,1.76,185.46033,4.48168,3237.33,6241.35,2.43,2.25,46.8,-0.400,19.70,21.60,02a59346o0263c
59346.354624,20.772,0.679,18,12,c,0,0.85,185.46033,4.48168,3218.04,6202.41,2.49,2.34,49.7,-0.395,19.69,21.60,02a59346o0271c
59346.360144,26.145,95.000,0,12,c,0,1.31,185.46033,4.48168,3276.42,6281.63,2.44,2.28,49.8,-0.395,19.75,21.60,02a59346o0283c
59346.372235,20.957,0.800,15,12,c,0,1.24,185.46033,4.48168,3295.87,6163.88,2.50,2.29,50.0,-0.392,19.71,21.60,02a59346o0309c
59348.341293,20.825,0.558,17,10,o,0,1.59,185.46033,4.48168,3795.46,8616.20,1.98,1.71,-85.4,-0.437,19.80,20.95,01a59348o0226o
59348.344516,20.750,0.549,18,10,o,0,1.32,185.46033,4.48168,3815.23,8654.56,1.93,1.72,-87.1,-0.438,19.81,20.97,01a59348o0233o
59348.351461,20.844,0.602,17,10,o,0,1.59,185.46033,4.48168,3756.72,8575.95,2.09,1.77,-89.0,-0.426,19.76,20.96,01a59348o0248o
59348.362996,19.773,0.210,45,9,o,0,1.51,185.46033,4.48168,3738.32,8691.71,1.91,1.69,-86.5,-0.436,19.83,20.95,01a59348o0273o
59352.327313,20.569,0.647,22,14,o,0,0.92,185.46033,4.48168,9249.10,4208.18,2.22,1.93,-85.7,-0.434,19.59,20.51,01a59352o0169o
59352.332849,20.882,1.073,16,17,o,0,0.60,185.46033,4.48168,9269.65,4246.07,2.14,1.84,-82.7,-0.443,19.65,20.52,01a59352o0181o
59352.337481,-22.272,3.128,-4,14,o,0,1.04,185.46033,4.48168,9211.66,4168.58,2.21,1.85,-84.6,-0.447,19.64,20.53,01a59352o0191o
59352.350853,23.542,10.933,1,15,o,0,1.00,185.46033,4.48168,9194.72,4283.68,2.27,1.78,-82.5,-0.446,19.62,20.55,01a59352o0220o
59354.402862,-21.634,2.806,-8,23,o,0,1.39,185.46033,4.48168,9451.83,6460.23,2.18,2.13,-84.0,-0.433,18.93,19.46,02a59354o0349o
