# ZTF DR2 lightcurve of ZTF20abapyxl
# --------------- #
# mjd_max_init:   58995.43690 (phot: fclump)
# baseline_range: 58895.43690 => 59421.28618
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  586   03   ztfg     -247.17     1.00      98
#  586   03   ztfr     -519.93     1.08     257
#  586   03   ztfi    -1126.04     1.00      48
#  1582  38   ztfg        0.00     1.00       0
#  1582  38   ztfr     -779.57     1.35       2
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58294.33634        ztfi   634.71167  2296.85587    30.00000         128    99.00000    99.00000    19.84974         586           3 -1126.04243     1.00000           1  1642.16572  1132.00906    25.31307     0.00000     0.02066     1.00133 ztf_20180625336331_000586_zi_c01_o_q4_sciimg.fits
 58296.31072        ztfr  -141.72447  1926.00596    30.00000         128    99.00000    99.00000    20.04093         586           3  -519.93452     1.07853           1  1640.70551  1230.06518    26.00134     0.00000     0.01868     1.00131 ztf_20180627310301_000586_zr_c01_o_q4_sciimg.fits
 58299.21008        ztfg  1876.41784  1527.18549    30.00000           0    99.00000    99.00000    20.29285         586           3  -247.17384     1.00000           0  1619.74671  1286.88042    26.03619     0.00000     0.02647     1.00134 ztf_20180630210046_000586_zg_c01_o_q4_sciimg.fits
 58302.17742        ztfi  -172.01654  1946.76247    30.00000          32    99.00000    99.00000    20.02929         586           3 -1126.04243     1.00000           1  1616.92708  1132.44146    25.31169     0.00001     0.03104     1.00132 ztf_20180703177407_000586_zi_c01_o_q4_sciimg.fits
 58302.20987        ztfg    11.94246   660.27861    30.00000           0    99.00000    99.00000    21.20326         586           3  -247.17384     1.00000           1  1620.07749  1129.77577    26.04477     0.00000     0.01970     1.00171 ztf_20180703209838_000586_zg_c01_o_q4_sciimg.fits
 58305.21088        ztfg  -897.74094   714.70218    30.00000           0    99.00000    99.00000    21.11726         586           3  -247.17384     1.00000           1  1621.61387  1179.15811    25.91124     0.00000     0.02083     1.00158 ztf_20180706210845_000586_zg_c01_o_q4_sciimg.fits
 58305.33595        ztfr  1028.25653   891.13044    30.00000           0    99.00000    99.00000    20.87772         586           3  -519.93452     1.07853           1  1636.09757  1173.19553    25.95726     0.00000     0.01574     1.00149 ztf_20180706335938_000586_zr_c01_o_q4_sciimg.fits
 58308.18581        ztfi -1913.67766  2868.02600    30.00000           4    99.00000    99.00000    19.60862         586           3 -1126.04243     1.00000           0  1618.03430  1213.03247    24.49116     0.00001     0.03881     1.00140 ztf_20180709185799_000586_zi_c01_o_q4_sciimg.fits
 58308.22921        ztfg  -166.60451   541.48668    30.00000           0    99.00000    99.00000    21.41861         586           3  -247.17384     1.00000           1  1626.71213  1212.25454    25.97376     0.00000     0.01755     1.00154 ztf_20180709229201_000586_zg_c01_o_q4_sciimg.fits
 58308.23208        ztfr -1249.54940   774.29327    30.00000           0    99.00000    99.00000    21.03031         586           3  -519.93452     1.07853           1  1627.19071  1219.48938    25.90578     0.00000     0.01820     1.00265 ztf_20180709232072_000586_zr_c01_o_q4_sciimg.fits
 58311.19152        ztfr  2841.67193   829.21360    30.00000           0    99.00000    99.00000    20.95591         586           3  -519.93452     1.07853           0  1624.68376  1102.58005    25.81394     0.00000     0.02076     1.00342 ztf_20180712191505_000586_zr_c01_o_q4_sciimg.fits
 58311.25235        ztfg   908.40923   622.93996    30.00000           0    99.00000    99.00000    21.26646         586           3  -247.17384     1.00000           1  1638.72280  1107.49578    25.88031     0.00000     0.02024     1.00161 ztf_20180712252350_000586_zg_c01_o_q4_sciimg.fits
 58312.17515        ztfi  3921.53642  1936.22889    30.00000           0    99.00000    99.00000    20.03518         586           3 -1126.04243     1.00000           0  1623.66536  1167.14324    25.16746     0.00000     0.02259     1.00140 ztf_20180713175116_000586_zi_c01_o_q4_sciimg.fits
 58314.18897        ztfr  1340.21714   889.98073    30.00000           0    99.00000    99.00000    20.87912         586           3  -519.93452     1.07853           1  1625.40458  1183.47112    25.88508     0.00000     0.01650     1.00162 ztf_20180715188958_000586_zr_c01_o_q4_sciimg.fits
