mjd,f,ef,band
58279.341307899915,-2.3329628101271487,3.0267715959061126,ztfg
58279.36206019996,-4.068569837302991,3.9740854500066813,ztfg
58279.386678200215,-4.795187922172738,5.099496517261852,ztfr
58279.41643519979,-0.5980759755556523,5.43563195399747,ztfr
58280.26978009986,0.7754560636743069,2.6900859737714606,ztfg
58280.28799769981,-3.598801257577011,2.635764607629347,ztfg
58280.30946760019,3.0607023446196777,4.556966639847809,ztfr
58280.33234950015,-9.431185912791621,3.402109903675346,ztfr
58280.33747689985,-1.725808676841,4.206062626312387,ztfr
58280.35063660005,8.907254058858204,3.656947007190553,ztfr
58280.351087999996,4.687771429742347,3.418272980873331,ztfr
58280.40158559987,-2.4306168804596027,2.891578766292564,ztfg
58281.2581944,2.527479655025942,2.7663453753472274,ztfg
58281.27512730006,-4.20424128457808,2.7754275412962084,ztfg
58281.31089119986,-7.676164321482911,6.306546436146944,ztfi
58281.31825229991,3.040147613281229,4.183466740061247,ztfr
58281.34975690022,-4.264659359468186,4.117219366714585,ztfr
58281.35069439979,-1.1699047780410081,3.7771787170276676,ztfr
58281.37162039988,-6.14671826124024,3.8682728633971606,ztfr
58281.38474539993,-3.7427857934353423,2.8708215450276398,ztfg
58281.38619210012,-0.38304147831159235,2.9463266778895822,ztfg
58282.30046299985,1.0400519667966344,4.347984112596237,ztfr
58282.31715280004,9.94039977074568,4.811305304124519,ztfr
58282.33960650023,2.0472608721661256,5.005201101351378,ztfr
58282.36549769994,-4.806962165956423,3.3486642400722353,ztfg
58282.3826156999,-0.9438728481389416,3.3028511281209014,ztfg
58282.4152199002,-3.6471783545773295,3.6368943870099,ztfg
58283.28793979995,-1.8162035295793864,2.709758985174872,ztfg
58283.31043979991,-0.6874866355416321,2.5031584128133684,ztfg
58283.31804399984,-2.619853919259971,4.015374139779265,ztfr
58283.33939810004,-1.589171399316872,4.096073554558416,ztfr
58283.36980320001,-6.438358056531544,4.50293552759926,ztfr
58283.41231480008,-0.29225194899796164,2.920565338339708,ztfg
58284.25372690009,0.30236132124904386,2.97058206396527,ztfg
58284.27726850007,-4.371468756479686,4.4482213379120665,ztfr
58284.311180599965,-1.5252400399186739,4.254690249944152,ztfr
58284.31215280015,-1.2515469849737992,4.198594834444203,ztfr
58284.31484950008,-2.0673105677198693,4.885950043841867,ztfr
58284.36385420011,-4.389943693217181,4.181774257978653,ztfg
58284.36479170015,-4.743329420174415,7.018809863731499,ztfg
58284.37844910007,-3.3429130673841057,3.3131858534196663,ztfg
58285.32719910005,-8.99245205950313,3.234636179739895,ztfr
