mjd,f,ef,band
59251.46186339995,68.44602577423802,14.356713626668741,ztfr
59252.39987270022,35.40308013185874,15.066957783106997,ztfi
59253.37903939979,38.78033513597492,15.545871671304178,ztfg
59253.48702549981,68.06020477252052,14.909925599749556,ztfr
59255.349745399784,32.571403311232864,18.40580622084155,ztfi
59255.41603010008,61.15583663415325,12.103176946451358,ztfr
59257.37905090023,46.21464843970399,24.14429555976202,ztfg
59262.26877309987,14.773954132567056,33.38344565099832,ztfi
59262.36114579998,53.67743146635155,16.343258967167774,ztfr
59262.416840299964,43.79572899130474,29.872464728525696,ztfg
59264.37339119986,61.17677035010198,13.931630349057714,ztfr
59265.32837959984,15.032025224007334,23.963535015474015,ztfi
59266.36018519988,43.89796074828364,28.308972682971405,ztfr
59268.35158560006,50.32887237789722,19.69601803970239,ztfr
59268.396284699906,22.17959457056209,21.55061711916054,ztfi
59268.43604170019,37.54691563301244,18.183239041425118,ztfg
59270.354849500116,40.99009056683636,32.973591753270846,ztfr
59270.400381899904,26.15774792458174,29.91622515041218,ztfg
59271.3368286998,28.716283336786855,44.308217910887954,ztfi
59272.40667819977,46.844579692387,52.56078043226545,ztfg
59272.44189810008,54.50416855688485,49.24726101038768,ztfr
59275.382337999996,53.891488908942556,30.645553133690118,ztfr
59275.38327550003,45.44155547286229,32.277405697752826,ztfr
59275.443368100096,51.20713613199352,37.14451542415756,ztfg
59275.44430560013,36.87511283699357,35.617701642750234,ztfg
59278.316666699946,32.44729833570773,14.521600190497006,ztfg
59278.42453699978,47.05053358733552,18.34800110098877,ztfr
59281.287835599855,39.38689988754012,16.314233053736643,ztfr
59291.28912039986,20.22539847568311,13.344927477851218,ztfg
59291.35041669989,33.26957716462117,12.085941690003178,ztfr
59293.25383100007,27.498660399140267,16.14263107160331,ztfr
59293.29483800009,23.813523788542096,14.811624459033839,ztfg
59296.3577430998,33.27536523714545,24.880531670695063,ztfr
59298.33375000022,21.830844143129625,33.972507350748764,ztfg
59298.37850689981,31.11626999628056,33.53383948522168,ztfr
59303.358900499996,30.523509075791516,42.58769297231921,ztfg
59305.277129599825,31.590879494180676,54.97689668524722,ztfg
59307.25395830022,26.903572650942195,13.960845058137535,ztfr
59307.29723379994,13.795162367457662,12.383045302516152,ztfg
59309.277326399926,26.274708082627907,14.897154419648555,ztfr
59309.309155100025,21.202559267664498,14.443697074591602,ztfg
59311.23350689979,8.371814143912209,14.07673047244927,ztfg
59311.312268500216,22.745558388561264,13.415784097157648,ztfr
59313.25564809982,17.151761828240293,12.56522845791512,ztfg
59313.29841439985,22.794767196359395,22.984607161131397,ztfr
59315.27634260012,28.105469067459406,61.11183812756253,ztfg
59317.33083330002,23.243177568460272,14.785014044991906,ztfr
59321.270937500056,11.557533063034375,10.868324737248274,ztfg
59321.298449099995,21.216629792999676,10.873924405526724,ztfr
59323.27836810006,18.23789926367481,16.41542965590834,ztfg
59323.316041700076,18.005396572594442,14.454105923932222,ztfr
59325.277638900094,24.568552598047578,17.248558520326206,ztfr
59325.3251852002,17.89105259728357,22.01760605557995,ztfg
59334.272916700225,16.080424457006288,19.508418045025028,ztfr
59336.31054400001,16.515637791665352,15.779090391162324,ztfr
59338.25482639996,10.553810420353436,13.889780042370967,ztfr
59338.31215280015,8.618351527965835,16.389801751398654,ztfg
59340.228634300176,11.79478745446515,11.703968887300363,ztfg
59342.2750694002,10.6294592135797,14.177798481629617,ztfr
59344.24624999985,17.421486398526916,13.20186835111635,ztfr
59344.25445599994,12.602337253127844,9.482378574535158,ztfg
59347.17818289995,11.075793383667735,10.464339505385635,ztfg
59349.176122699864,10.619461331729719,12.285857359500946,ztfr
59349.2101619998,7.983319368135905,13.514434421491154,ztfg
59352.20854170015,3.062510271391008,21.52982170648802,ztfg
59352.23818290001,13.899646076949525,24.819047610260846,ztfr
59354.17902779998,15.654016832241242,25.37977759852332,ztfg
59354.211342600174,4.679693822546056,21.070176967643725,ztfr
59358.25379629992,-2.9119951008861995,46.76652838942824,ztfg
59358.310069399886,14.633767279658093,47.76365438792236,ztfr
59361.213958300184,12.074482965418488,20.68808333017838,ztfr
59361.254166699946,5.056788514167159,28.051717308007692,ztfg
59363.20672449982,12.602479115414662,13.697185929120776,ztfr
59363.211608800106,9.385487259397463,13.17625619770762,ztfg
59365.19093749998,8.488670821104295,13.705117183855894,ztfg
59367.19219909981,11.062262154907181,15.793742491875888,ztfr
59369.2072222,4.504029348282667,12.693421459814553,ztfr
59369.229618099984,-1.3494327848370162,15.205966249767327,ztfg
59371.19148149993,5.6172519770712395,13.069987935974364,ztfg
59373.211168999784,6.728580679594955,15.82882088537353,ztfr
59373.25715279998,6.122832150543522,16.90876336056387,ztfg
59375.18752310006,14.289094442794383,16.680396664134964,ztfg
59377.18667820003,1.3117245381232328,12.705479704538028,ztfg
59377.21103010001,8.81724669163124,13.24321441295151,ztfr
59379.20803239988,6.469070400109404,12.368782800416014,ztfg
59379.21287039993,4.500455223204984,14.08338801954969,ztfr
59381.2795833,8.985181342913034,121.68359810781816,ztfg
59385.237442099955,19.03930646381443,36.68864443125947,ztfr
59391.2483333,14.922799984957237,50.53879996335532,ztfg
59393.19333329983,2.6814963968299215,17.216171451591954,ztfr
