# Template No.           5: sn1992H (IIP; +12) ; z= 0.037 +/- 0.007
#redshifted_wavelength[A] flux[arbitraty]
   4652.63037      0.833531380    
   4658.93311      0.836247206    
   4665.24463      0.839015543    
   4671.56445      0.841890156    
   4677.89307      0.844932556    
   4684.23047      0.848198473    
   4690.57617      0.851722300    
   4696.93066      0.855502784    
   4703.29443      0.859493911    
   4709.66553      0.863605380    
   4716.04590      0.867713392    
   4722.43457      0.871681333    
   4728.83203      0.875384331    
   4735.23877      0.878732860    
   4741.65332      0.881686270    
   4748.07715      0.884252131    
   4754.50928      0.886467099    
   4760.95020      0.888363004    
   4767.39990      0.889924169    
   4773.85840      0.891047597    
   4780.32617      0.891517460    
   4786.80176      0.891005695    
   4793.28662      0.889104724    
   4799.78027      0.885390699    
   4806.28271      0.879510999    
   4812.79395      0.871279955    
   4819.31348      0.860763907    
   4825.84277      0.848338127    
   4832.38037      0.834699750    
   4838.92676      0.820829451    
   4845.48193      0.807905138    
   4852.04639      0.797177553    
   4858.62012      0.789827764    
   4865.20166      0.786827922    
   4871.79248      0.788827181    
   4878.39258      0.796080172    
   4885.00146      0.808425546    
   4891.61914      0.825315952    
   4898.24609      0.845892489    
   4904.88184      0.869087398    
   4911.52637      0.893740475    
   4918.18018      0.918711782    
   4924.84277      0.942978442    
   4931.51465      0.965705454    
   4938.19531      0.986287236    
   4944.88574       1.00436175    
   4951.58447       1.01979780    
   4958.29199       1.03266478    
   4965.00977       1.04318643    
   4971.73584       1.05168867    
   4978.47119       1.05854440    
   4985.21533       1.06412089    
   4991.96924       1.06873536    
   4998.73193       1.07262158    
   5005.50342       1.07591140    
   5012.28467       1.07863247    
   5019.07520       1.08072186    
   5025.87402       1.08205271    
   5032.68262       1.08247066    
   5039.50049       1.08183396    
   5046.32812       1.08004963    
   5053.16455       1.07710266    
   5060.01025       1.07307231    
   5066.86475       1.06813288    
   5073.72900       1.06253922    
   5080.60254       1.05659819    
   5087.48486       1.05062926    
   5094.37744       1.04491949    
   5101.27832       1.03967869    
   5108.18945       1.03500247    
   5115.10986       1.03085089    
   5122.03955       1.02704787    
   5128.97852       1.02330589    
   5135.92676       1.01927757    
   5142.88428       1.01462710    
   5149.85205       1.00911093    
   5156.82812       1.00265586    
   5163.81396      0.995412827    
   5170.80957      0.987772882    
   5177.81445      0.980336189    
   5184.82910      0.973830163    
   5191.85303      0.968990803    
   5198.88721      0.966424704    
   5205.93018      0.966482222    
   5212.98242      0.969168127    
   5220.04443      0.974116862    
   5227.11670      0.980641365    
   5234.19678      0.987851799    
   5241.28809      0.994820595    
   5248.38916       1.00076199    
   5255.49902       1.00518370    
   5262.61865       1.00797689    
   5269.74854       1.00942278    
   5276.88721       1.01011074    
   5284.03613       1.01078868    
   5291.19434       1.01217961    
   5298.36230       1.01480877    
   5305.54004       1.01888239    
   5312.72803       1.02424765    
   5319.92480       1.03044248    
   5327.13135       1.03682041    
   5334.34814       1.04271591    
   5341.57520       1.04760945    
   5348.81152       1.05124652    
   5356.05762       1.05368400    
   5363.31348       1.05524921    
   5370.57910       1.05643189    
   5377.85498       1.05773270    
   5385.14014       1.05951715    
   5392.43555       1.06191325    
   5399.74072       1.06477785    
   5407.05566       1.06774461    
   5414.38135       1.07033420    
   5421.71631       1.07209754    
   5429.06104       1.07275021    
   5436.41602       1.07225895    
   5443.78125       1.07086027    
   5451.15527       1.06899989    
   5458.54004       1.06721544    
   5465.93506       1.06599224    
   5473.34033       1.06563342    
   5480.75488       1.06617939    
   5488.17969       1.06739736    
   5495.61475       1.06884480    
   5503.05908       1.06998789    
   5510.51465       1.07034171    
   5517.97998       1.06959808    
   5525.45508       1.06770420    
   5532.94043       1.06487691    
   5540.43652       1.06155074    
   5547.94189       1.05827475    
   5555.45801       1.05559015    
   5562.98389       1.05391955    
   5570.52051       1.05349243    
   5578.06738       1.05432498    
   5585.62354       1.05624926    
   5593.19092       1.05897796    
   5600.76807       1.06218302    
   5608.35547       1.06556141    
   5615.95264       1.06887472    
   5623.56104       1.07195377    
   5631.17920       1.07467806    
   5638.80811       1.07694387    
   5646.44727       1.07863915    
   5654.09619       1.07964134    
